text,label
Haaland is blunt and doesn't mince words...,opinion
England will be racist soon as a black player misses...,hot_take
Kylian Mbappé reaches Miroslav Klose's goal record...,hot_take
Mbappe will break Messi record plus maybe double...,hot_take
Wonderful picture. What a shame everyone gets priced out...,opinion
Messi's brace continues to break records...,opinion
"Argentina looked comfortable, never had to go through the gears...",analysis
FIFA Miss Penalty for a reason,hot_take
"""As an Austrian, nobody could have predicted this""",reaction
"""Goat set loose on the pitch""",hot_take
"""The Austrian team looked lost once Alaba was subbed out. It makes you appreciate the vision of key players.""",opinion
"""Loved seeing Messi turn the ball over and the announcers say 'great touch'""",reaction
"""See I think that's what causes a lot of the dislike of athletes at the very top... people just get sick of that type of stuff.""",opinion
"""Messi could have gotten a consecutive hattrick if he hadn't missed the penalty.""",opinion
"""Austria actually made it annoying for a while... Argentina weren't spectacular, just felt like they always had another gear.""",opinion
"""The team is OK, they just happen to have the best player in history on their team""",hot_take
"""VAR can only suggest second review of fouls. VAR only has definitive say on objective calls like offsides...""",analysis
"""Looks like it's going to be a shootout between Messi and Mbappe""",opinion
"""As an Austrian... I feel like we should have been a bit braver offensively... Referee definitely didn't have his brightest day but Argentina were the better team regardless.""",opinion
"""Tim Howard and his 16 saves is still the record""",analysis
"""Super frustrating from an Ecuador POV. Their attack was Turkiye-esque. Most shots were right at the GK... the bigger story is Ecuador continues to be toothless up front.""",analysis
"""Ecuador look shit... Just like there's always one giant who underperforms at a World Cup, there's always one dark horse who just plays like shit""",hot_take
"""Most of these shots were right at the GK — I couldn't believe how the Ecuadorian attackers couldn't manage a shot on the open part of the net.""",opinion
"""Eloy Room was like a wall in this game!""",reaction
"""There is a world where Curacao can make it to the knockout stages right?""",opinion
"""They will not win against Ivory Coast, even with a draw they will have 2 points and -6 goal difference... get these haramball merchants out of the tournament.""",analysis
"""Germany has to win against Ecuador and Curacao against Ivory Coast, then they advance for sure.""",analysis
"""The Mexico stadiums are spectacular. Really enjoying this WC. I can see the Round of 32 having some Final 4 type matchups.""",opinion
"""This world cup should have taken place only in Mexico. USA has zero connection or culture around football.""",hot_take
"""FIFA could put a small percentage of its gigantic profits to the organization and the problem would be solved.""",opinion
"""I'm from Mexico and trust me, it's better this way. We simply don't have the economy for such an event on that scale.""",opinion
"""Messi is one of the dirtiest players of football ever. He can dribble like a legend but he plays like a narcissist.""",hot_take
"""Yeah... That's definitely a red card...""",reaction
"""In fairness it's a foul and a yellow, never red.""",opinion
"""Intentional studs into the calf right after already committing a foul? It doesn't get much redder than that.""",opinion
"""The variability in officiating, seemingly favouring big or host nations, is unprofessional in the extreme.""",hot_take
"""So much conversation around this because it is Messi. It was a foul yes but not a red card. Player was up and running after.""",opinion
"""Messi always gets ref'd differently. His on pitch transgressions are frequently overlooked.""",hot_take
"""Any other player and it's red.""",hot_take
"""Referee definitely played blind on that one!!""",reaction
